occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Ailuroedus melanotis","Ailuroedus melanotis (G.R.Gray, 1858)","2494802","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Ptilonorhynchidae","Ailuroedus","Ailuroedus melanotis","Ailuroedus melanotis","(G.R.Gray, 1858) ","2494802",
,"Aplonis metallica","Aplonis metallica (Temminck, 1824)","2489042","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Aplonis","Aplonis metallica","Aplonis metallica","(Temminck, 1824) ","2489042",
,"Arses kaupi","Arses kaupi Gould, 1851","2486665","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Arses","Arses kaupi","Arses kaupi","Gould, 1851","2486665",
,"Cacatua alba","Cacatua alba (Statius Muller, 1776)","2479870","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Cacatua","Cacatua alba","Cacatua alba","(Statius Muller, 1776) ","2479870",
,"Monarcha leucotis","Monarcha leucotis Gould, 1851","5230428","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Carterornis","Carterornis leucotis","Monarcha leucotis","Gould, 1851","5230428","4845713"
,"Colluricincla rufogaster","Colluricincla rufogaster Gould, 1845","7899775","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Colluricincla","Colluricincla rufogaster","Colluricincla rufogaster","Gould, 1845","7899775",
,"Coracina lineata","Coracina lineata (Swainson, 1825)","2486752","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Campephagidae","Coracina","Coracina lineata","Coracina lineata","(Swainson, 1825) ","2486752",
,"Cyclopsitta sp.","Cyclopsitta Reichenbach, 1850","2480147","EXACT","80","ACCEPTED","GENUS","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Cyclopsitta",,"Cyclopsitta","Reichenbach, 1850","2480147",
,"Dicaeum hirundinaceum","Dicaeum hirundinaceum (Shaw, 1792)","2484700","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Dicaeidae","Dicaeum","Dicaeum hirundinaceum","Dicaeum hirundinaceum","(Shaw, 1792) ","2484700",
,"Eudynamys orientalis","Eudynamys orientalis (Latham, 1801)","4848207","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Eudynamys","Eudynamys orientalis","Eudynamys orientalis","(Latham, 1801) ","4848207",
,"Gerygone palpebrosa","Gerygone palpebrosa Wallace, 1865","2486559","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Gerygone","Gerygone palpebrosa","Gerygone palpebrosa","Wallace, 1865","2486559",
,"Lalage leucomela","Lalage leucomela (Vigors & Horsfield, 1827)","5230458","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Campephagidae","Lalage","Lalage leucomela","Lalage leucomela","(Vigors & Horsfield, 1827) ","5230458",
,"Ptiloris victoriae","Ptiloris victoriae Gould, 1850","2494896","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Paradisaeidae","Ptiloris","Ptiloris victoriae","Ptiloris victoriae","Gould, 1850","2494896",
,"Myiagra ruficollis","Myiagra ruficollis (Vieillot, 1818)","2486646","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Myiagra","Myiagra ruficollis","Myiagra ruficollis","(Vieillot, 1818) ","2486646",
,"Meliphaga gracilis","Meliphaga gracilis (Gould, 1866)","2486832","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Microptilotis","Microptilotis gracilis","Meliphaga gracilis","(Gould, 1866) ","2486832","11007893"
,"Myzomela obscura","Myzomela obscura Gould, 1843","9359990","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Myzomela","Myzomela obscura","Myzomela obscura","Gould, 1843","9359990",
,"Orthonyx spaldingii","Orthonyx spaldingii E.P.Ramsay, 1868","2490708","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Orthonychidae","Orthonyx","Orthonyx spaldingii","Orthonyx spaldingii","E.P.Ramsay, 1868","2490708",
,"Pachycephala simplex","Pachycephala simplex Gould, 1843","5959192","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Pachycephala","Pachycephala simplex","Pachycephala simplex","Gould, 1843","5959192",
,"Pitta versicolor","Pitta versicolor Swainson, 1825","2489546","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pittidae","Pitta","Pitta versicolor","Pitta versicolor","Swainson, 1825","2489546",
,"Rhipidura fuliginosa","Rhipidura fuliginosa (Sparrman, 1787)","5231730","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura fuliginosa","Rhipidura fuliginosa","(Sparrman, 1787) ","5231730",
,"Rhipidura rufifrons","Rhipidura rufifrons (Latham, 1802)","5231742","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura rufifrons","Rhipidura rufifrons","(Latham, 1802) ","5231742",
,"Sericornis magnirostra","Sericornis magnirostra (Gould, 1838)","7341498","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Sericornis","Sericornis magnirostra","Sericornis magnirostra","(Gould, 1838) ","7341498",
,"Sphecotheres vieilloti","Sphecotheres vieilloti Vigors & Horsfield, 1827","7340924","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Oriolidae","Sphecotheres","Sphecotheres vieilloti","Sphecotheres vieilloti","Vigors & Horsfield, 1827","7340924",
,"Monarcha trivirgatus","Monarcha trivirgatus (Temminck, 1826)","5230422","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Symposiachrus","Symposiachrus trivirgatus","Monarcha trivirgatus","(Temminck, 1826) ","5230422","7342258"
,"Tregellasia capito","Tregellasia capito (Gould, 1854)","2489283","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Tregellasia","Tregellasia capito","Tregellasia capito","(Gould, 1854) ","2489283",
,"Xanthotis macleayanus","Xanthotis macleayanus (E.P.Ramsay, 1875)","2487223","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Xanthotis","Xanthotis macleayanus","Xanthotis macleayanus","(E.P.Ramsay, 1875) ","2487223",
,"Zosterops lateralis","Zosterops lateralis (Latham, 1802)","2489396","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Zosteropidae","Zosterops","Zosterops lateralis","Zosterops lateralis","(Latham, 1802) ","2489396",
,"Ptilinopus magnificus","Ptilinopus magnificus (Temminck, 1821)","2495643","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Columbiformes","Columbidae","Ptilinopus","Ptilinopus magnificus","Ptilinopus magnificus","(Temminck, 1821) ","2495643",
,"Macropygia amboinensis","Macropygia amboinensis (Linnaeus, 1766)","2496170","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Columbiformes","Columbidae","Macropygia","Macropygia amboinensis","Macropygia amboinensis","(Linnaeus, 1766) ","2496170",
,"Platycercus elegans","Platycercus elegans (Gmelin, 1788)","2479311","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Platycercus","Platycercus elegans","Platycercus elegans","(Gmelin, 1788) ","2479311",
,"Coracina lineata","Coracina lineata (Swainson, 1825)","2486752","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Campephagidae","Coracina","Coracina lineata","Coracina lineata","(Swainson, 1825) ","2486752",
,"Meliphaga lewinii","Meliphaga lewinii (Swainson, 1837)","2486847","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Meliphaga","Meliphaga lewinii","Meliphaga lewinii","(Swainson, 1837) ","2486847",
,"Lichenostomus frenatus","Lichenostomus frenatus (E.P.Ramsay, 1874)","2486926","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Bolemoreus","Bolemoreus frenatus","Lichenostomus frenatus","(E.P.Ramsay, 1874) ","2486926","8312933"
,"Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris (Latham, 1801)","5230466","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Acanthorhynchus","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris","(Latham, 1801) ","5230466",
,"Neochmia temporalis","Neochmia temporalis (Latham, 1802)","2493737","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Estrildidae","Neochmia","Neochmia temporalis","Neochmia temporalis","(Latham, 1802) ","2493737",
,"Ptiloris victoriae","Ptiloris victoriae Gould, 1850","2494896","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Paradisaeidae","Ptiloris","Ptiloris victoriae","Ptiloris victoriae","Gould, 1850","2494896",
,"Tregellasia capito","Tregellasia capito (Gould, 1854)","2489283","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Tregellasia","Tregellasia capito","Tregellasia capito","(Gould, 1854) ","2489283",
,"Pachycephala pectoralis","Pachycephala pectoralis (Latham, 1802)","5959188","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Pachycephala","Pachycephala pectoralis","Pachycephala pectoralis","(Latham, 1802) ","5959188",
,"Colluricincla boweri","Colluricincla boweri E.P.Ramsay, 1885","2482353","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Colluricincla","Colluricincla boweri","Colluricincla boweri","E.P.Ramsay, 1885","2482353",
,"Rhipidura rufifrons","Rhipidura rufifrons (Latham, 1802)","5231742","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura rufifrons","Rhipidura rufifrons","(Latham, 1802) ","5231742",
,"Rhipidura fuliginosa","Rhipidura fuliginosa (Sparrman, 1787)","5231730","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura fuliginosa","Rhipidura fuliginosa","(Sparrman, 1787) ","5231730",
,"Sericornis magnirostra","Sericornis magnirostra (Gould, 1838)","7341498","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Sericornis","Sericornis magnirostra","Sericornis magnirostra","(Gould, 1838) ","7341498",
,"Gerygone mouki","Gerygone mouki Mathews, 1912","2486566","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Gerygone","Gerygone mouki","Gerygone mouki","Mathews, 1912","2486566",
,"Climacteris picumnus","Climacteris picumnus Temminck, 1824","2494126","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Climacteridae","Climacteris","Climacteris picumnus","Climacteris picumnus","Temminck, 1824","2494126",
,"Alectura lathami","Alectura lathami J.E.Gray, 1831","5229426","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Megapodiidae","Alectura","Alectura lathami","Alectura lathami","J.E.Gray, 1831","5229426",
,"Heteromyias albispecularis","Heteromyias albispecularis (Salvadori, 1876)","2489268","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Heteromyias","Heteromyias albispecularis","Heteromyias albispecularis","(Salvadori, 1876) ","2489268",
,"Orthonyx spaldingii","Orthonyx spaldingii E.P.Ramsay, 1868","2490708","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Orthonychidae","Orthonyx","Orthonyx spaldingii","Orthonyx spaldingii","E.P.Ramsay, 1868","2490708",
,"Psophodes olivaceus","Psophodes olivaceus (Latham, 1802)","2495057","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Psophodidae","Psophodes","Psophodes olivaceus","Psophodes olivaceus","(Latham, 1802) ","2495057",
,"Oreoscopus gutturalis","Oreoscopus gutturalis (De Vis, 1889)","5230416","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Oreoscopus","Oreoscopus gutturalis","Oreoscopus gutturalis","(De Vis, 1889) ","5230416",
,"Sericornis citreogularis","Sericornis citreogularis Gould, 1838","2486597","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Sericornis","Sericornis citreogularis","Sericornis citreogularis","Gould, 1838","2486597",
,"Junco hyemalis","Junco hyemalis (Linnaeus, 1758)","9362842","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Junco","Junco hyemalis","Junco hyemalis","(Linnaeus, 1758) ","9362842",
,"Catharus guttatus","Catharus guttatus (Pallas, 1811)","2490810","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","Catharus guttatus","Catharus guttatus","(Pallas, 1811) ","2490810",
,"Catharus ustulatus","Catharus ustulatus (Nuttall, 1840)","2490821","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","Catharus ustulatus","Catharus ustulatus","(Nuttall, 1840) ","2490821",
,"Troglodytes troglodytes","Troglodytes troglodytes (Linnaeus, 1758)","5231438","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes troglodytes","Troglodytes troglodytes","(Linnaeus, 1758) ","5231438",
,"Seiurus aurocapilla","Seiurus aurocapilla (Linnaeus, 1766)","2489590","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Seiurus","Seiurus aurocapilla","Seiurus aurocapilla","(Linnaeus, 1766) ","2489590",
,"Catharus fuscescens","Catharus fuscescens (Stephens, 1817)","2490804","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","Catharus fuscescens","Catharus fuscescens","(Stephens, 1817) ","2490804",
,"Hylocichla mustelina","Hylocichla mustelina (Gmelin, 1789)","2490872","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Hylocichla","Hylocichla mustelina","Hylocichla mustelina","(Gmelin, 1789) ","2490872",
,"Picoides villosus","Picoides villosus (Linnaeus, 1766)","2477741","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Leuconotopicus","Leuconotopicus villosus","Picoides villosus","(Linnaeus, 1766) ","2477741","9192501"
,"Sphyrapicus varius","Sphyrapicus varius (Linnaeus, 1766)","2478605","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Sphyrapicus","Sphyrapicus varius","Sphyrapicus varius","(Linnaeus, 1766) ","2478605",
,"Picoides pubescens","Picoides pubescens (Linnaeus, 1766)","2477781","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dryobates","Dryobates pubescens","Picoides pubescens","(Linnaeus, 1766) ","2477781","9149595"
,"Sitta carolinensis","Sitta carolinensis Latham, 1790","2484892","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta carolinensis","Sitta carolinensis","Latham, 1790","2484892",
,"Vireo solitarius","Vireo solitarius (A.Wilson, 1810)","2487456","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo solitarius","Vireo solitarius","(A.Wilson, 1810) ","2487456",
,"Dendroica fusca","Dendroica fusca (Statius Müller, 1776)","2489913","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga fusca","Dendroica fusca","(Statius Müller, 1776) ","2489913","6093199"
,"Parus atricapillus","Parus atricapillus Linnaeus, 1766","2487820","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile atricapillus","Parus atricapillus","Linnaeus, 1766","2487820","2487805"
,"Dendroica virens","Dendroica virens (J.F.Gmelin, 1789)","2489976","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga virens","Dendroica virens","(J.F.Gmelin, 1789) ","2489976","6092631"
,"Vireo olivaceus","Vireo olivaceus (Linnaeus, 1766)","2487430","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo olivaceus","Vireo olivaceus","(Linnaeus, 1766) ","2487430",
,"Vireo philadelphicus","Vireo philadelphicus (Cassin, 1851)","2487408","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo philadelphicus","Vireo philadelphicus","(Cassin, 1851) ","2487408",
,"Pheucticus ludovicianus","Pheucticus ludovicianus (Linnaeus, 1766)","2490494","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Pheucticus","Pheucticus ludovicianus","Pheucticus ludovicianus","(Linnaeus, 1766) ","2490494",
,"Piranga olivacea","Piranga olivacea (J.F.Gmelin, 1789)","2488517","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Piranga","Piranga olivacea","Piranga olivacea","(J.F.Gmelin, 1789) ","2488517",
,"Empidonax minimus","Empidonax minimus (W.M.Baird & S.F.Baird, 1843)","2482791","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax minimus","Empidonax minimus","(W.M.Baird & S.F.Baird, 1843) ","2482791",
,"Setophaga ruticilla","Setophaga ruticilla (Linnaeus, 1758)","2489985","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga ruticilla","Setophaga ruticilla","(Linnaeus, 1758) ","2489985",
,"Dendroica caerulescens","Dendroica caerulescens (J.F.Gmelin, 1789)","2489915","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga caerulescens","Dendroica caerulescens","(J.F.Gmelin, 1789) ","2489915","7341828"
,"Climacteris picumnus","Climacteris picumnus Temminck, 1824","2494126","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Climacteridae","Climacteris","Climacteris picumnus","Climacteris picumnus","Temminck, 1824","2494126",
,"Acanthiza uropygialis","Acanthiza uropygialis Gould, 1838","5230403","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza uropygialis","Acanthiza uropygialis","Gould, 1838","5230403",
,"Stagonopleura guttata","Stagonopleura guttata (Shaw, 1796)","2493733","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Estrildidae","Stagonopleura","Stagonopleura guttata","Stagonopleura guttata","(Shaw, 1796) ","2493733",
,"Melanodryas cucullata","Melanodryas cucullata (Latham, 1802)","2489290","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Melanodryas","Melanodryas cucullata","Melanodryas cucullata","(Latham, 1802) ","2489290",
,"Microeca fascinans","Microeca fascinans (Latham, 1802)","2489296","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Microeca","Microeca fascinans","Microeca fascinans","(Latham, 1802) ","2489296",
,"Petroica goodenovii","Petroica goodenovii (Vigors & Horsfield, 1827)","2489322","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Petroica","Petroica goodenovii","Petroica goodenovii","(Vigors & Horsfield, 1827) ","2489322",
,"Petroica multicolor","Petroica multicolor (Gmelin, 1789)","2489315","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Petroica","Petroica multicolor","Petroica multicolor","(Gmelin, 1789) ","2489315",
,"Aphelocephala leucopsis","Aphelocephala leucopsis (Gould, 1841)","2486544","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Aphelocephala","Aphelocephala leucopsis","Aphelocephala leucopsis","(Gould, 1841) ","2486544",
,"Malurus cyaneus","Malurus cyaneus (Ellis, 1782)","2487516","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus cyaneus","Malurus cyaneus","(Ellis, 1782) ","2487516",
,"Pomatostomus superciliosus","Pomatostomus superciliosus (Vigors & Horsfield, 1827)","2492266","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pomatostomidae","Pomatostomus","Pomatostomus superciliosus","Pomatostomus superciliosus","(Vigors & Horsfield, 1827) ","2492266",
,"Rhipidura leucophrys","Rhipidura leucophrys (Latham, 1802)","5231722","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura leucophrys","Rhipidura leucophrys","(Latham, 1802) ","5231722",
,"Corcorax melanorhamphos","Corcorax melanoramphos (Vieillot, 1817)","5845081","FUZZY","98","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Corcoracidae","Corcorax","Corcorax melanoramphos","Corcorax melanoramphos","(Vieillot, 1817) ","5845081",
,"Acanthiza chrysorrhoa","Acanthiza chrysorrhoa (Quoy & Gaimard, 1830)","5230400","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza chrysorrhoa","Acanthiza chrysorrhoa","(Quoy & Gaimard, 1830) ","5230400",
,"Gerygone chloronota","Gerygone chloronota Gould, 1843","7341355","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Gerygone","Gerygone chloronota","Gerygone chloronota","Gould, 1843","7341355",
,"Gerygone magnirostris","Gerygone magnirostris Gould, 1843","2486552","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Gerygone","Gerygone magnirostris","Gerygone magnirostris","Gould, 1843","2486552",
,"Gerygone magnirostris","Gerygone magnirostris Gould, 1843","2486552","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Gerygone","Gerygone magnirostris","Gerygone magnirostris","Gould, 1843","2486552",
,"Conopophila albogularis","Conopophila albogularis (Gould, 1843)","2486946","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Conopophila","Conopophila albogularis","Conopophila albogularis","(Gould, 1843) ","2486946",
,"Lichenostomus unicolor","Lichenostomus unicolor (Gould, 1843)","2486896","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Stomiopera","Stomiopera unicolor","Lichenostomus unicolor","(Gould, 1843) ","2486896","7465536"
,"Zosterops luteus","Zosterops luteus Gould, 1843","2489373","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Zosteropidae","Zosterops","Zosterops luteus","Zosterops luteus","Gould, 1843","2489373",
,"Lalage leucomela","Lalage leucomela (Vigors & Horsfield, 1827)","5230458","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Campephagidae","Lalage","Lalage leucomela","Lalage leucomela","(Vigors & Horsfield, 1827) ","5230458",
,"Rhipidura rufifrons","Rhipidura rufifrons (Latham, 1802)","5231742","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura rufifrons","Rhipidura rufifrons","(Latham, 1802) ","5231742",
,"Myiagra ruficollis","Myiagra ruficollis (Vieillot, 1818)","2486646","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Myiagra","Myiagra ruficollis","Myiagra ruficollis","(Vieillot, 1818) ","2486646",
,"Pachycephala simplex","Pachycephala simplex Gould, 1843","5959192","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Pachycephala","Pachycephala simplex","Pachycephala simplex","Gould, 1843","5959192",
,"Microeca flavigaster","Microeca flavigaster Gould, 1843","2489293","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Microeca","Microeca flavigaster","Microeca flavigaster","Gould, 1843","2489293",
,"Chrysococcyx minutillus","Chrysococcyx minutillus Gould, 1859","2496334","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Chrysococcyx","Chrysococcyx minutillus","Chrysococcyx minutillus","Gould, 1859","2496334",
,"Pachycephala melanura","Pachycephala melanura Gould, 1843","5959174","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Pachycephala","Pachycephala melanura","Pachycephala melanura","Gould, 1843","5959174",
,"Eopsaltria pulverulenta","Eopsaltria pulverulenta (Bonaparte, 1850)","2489303","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Peneoenanthe","Peneoenanthe pulverulenta","Eopsaltria pulverulenta","(Bonaparte, 1850) ","2489303","4847003"
,"Rhipidura rufiventris","Rhipidura rufiventris (Vieillot, 1818)","5231729","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura rufiventris","Rhipidura rufiventris","(Vieillot, 1818) ","5231729",
,"Myiagra alecto","Myiagra alecto (Temminck, 1827)","2486642","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Myiagra","Myiagra alecto","Myiagra alecto","(Temminck, 1827) ","2486642",
,"Merops ornatus","Merops ornatus Latham, 1801","2475422","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Coraciiformes","Meropidae","Merops","Merops ornatus","Merops ornatus","Latham, 1801","2475422",
,"Lichmera indistincta","Lichmera indistincta (Vigors & Horsfield, 1827)","2487341","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Lichmera","Lichmera indistincta","Lichmera indistincta","(Vigors & Horsfield, 1827) ","2487341",
,"Philemon buceroides","Philemon buceroides (Swainson, 1838)","2487072","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Philemon","Philemon buceroides","Philemon buceroides","(Swainson, 1838) ","2487072",
,"Myzomela erythrocephala","Myzomela erythrocephala Gould, 1840","2487294","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Myzomela","Myzomela erythrocephala","Myzomela erythrocephala","Gould, 1840","2487294",
